Name,Label,Test
cifar10_0.jpeg,[6],False
cifar10_1.jpeg,[9],False
cifar10_2.jpeg,[9],False
cifar10_3.jpeg,[4],False
cifar10_4.jpeg,[1],False
cifar10_5.jpeg,[1],False
cifar10_6.jpeg,[2],False
cifar10_7.jpeg,[7],False
cifar10_8.jpeg,[8],False
cifar10_9.jpeg,[3],False
cifar10_10.jpeg,[4],False
cifar10_11.jpeg,[7],False
cifar10_12.jpeg,[7],False
cifar10_13.jpeg,[2],False
cifar10_14.jpeg,[9],False
cifar10_15.jpeg,[9],False
cifar10_16.jpeg,[9],False
cifar10_17.jpeg,[3],False
cifar10_18.jpeg,[2],False
cifar10_19.jpeg,[6],False
cifar10_20.jpeg,[4],False
cifar10_21.jpeg,[3],False
cifar10_22.jpeg,[6],False
cifar10_23.jpeg,[6],False
cifar10_24.jpeg,[2],False
cifar10_25.jpeg,[6],False
cifar10_26.jpeg,[3],False
cifar10_27.jpeg,[5],False
cifar10_28.jpeg,[4],False
cifar10_29.jpeg,[0],False
cifar10_30.jpeg,[0],False
cifar10_31.jpeg,[9],False
cifar10_32.jpeg,[1],False
cifar10_33.jpeg,[3],False
cifar10_34.jpeg,[4],False
cifar10_35.jpeg,[0],False
cifar10_36.jpeg,[3],False
cifar10_37.jpeg,[7],False
cifar10_38.jpeg,[3],False
cifar10_39.jpeg,[3],False
cifar10_40.jpeg,[5],False
cifar10_41.jpeg,[2],False
cifar10_42.jpeg,[2],False
cifar10_43.jpeg,[7],False
cifar10_44.jpeg,[1],False
cifar10_45.jpeg,[1],False
cifar10_46.jpeg,[1],False
cifar10_47.jpeg,[2],False
cifar10_48.jpeg,[2],False
cifar10_49.jpeg,[0],False
cifar10_50.jpeg,[9],False
cifar10_51.jpeg,[5],False
cifar10_52.jpeg,[7],False
cifar10_53.jpeg,[9],False
cifar10_54.jpeg,[2],False
cifar10_55.jpeg,[2],False
cifar10_56.jpeg,[5],False
cifar10_57.jpeg,[2],False
cifar10_58.jpeg,[4],False
cifar10_59.jpeg,[3],False
cifar10_60.jpeg,[1],False
cifar10_61.jpeg,[1],False
cifar10_62.jpeg,[8],False
cifar10_63.jpeg,[2],False
cifar10_64.jpeg,[1],False
cifar10_65.jpeg,[1],False
cifar10_66.jpeg,[4],False
cifar10_67.jpeg,[9],False
cifar10_68.jpeg,[7],False
cifar10_69.jpeg,[8],False
cifar10_70.jpeg,[5],False
cifar10_71.jpeg,[9],False
cifar10_72.jpeg,[6],False
cifar10_73.jpeg,[7],False
cifar10_74.jpeg,[3],False
cifar10_75.jpeg,[1],False
cifar10_76.jpeg,[9],False
cifar10_77.jpeg,[0],False
cifar10_78.jpeg,[3],False
cifar10_79.jpeg,[1],False
cifar10_80.jpeg,[3],False
cifar10_81.jpeg,[5],False
cifar10_82.jpeg,[4],False
cifar10_83.jpeg,[5],False
cifar10_84.jpeg,[7],False
cifar10_85.jpeg,[7],False
cifar10_86.jpeg,[4],False
cifar10_87.jpeg,[7],False
cifar10_88.jpeg,[9],False
cifar10_89.jpeg,[4],False
cifar10_90.jpeg,[2],False
cifar10_91.jpeg,[3],False
cifar10_92.jpeg,[8],False
cifar10_93.jpeg,[0],False
cifar10_94.jpeg,[1],False
cifar10_95.jpeg,[6],False
cifar10_96.jpeg,[1],False
cifar10_97.jpeg,[1],False
