Name,Real label,Train label,Test
0,mnist_784_62120.jpeg,4,-1,False
1,mnist_784_36004.jpeg,9,-1,False
2,mnist_784_46049.jpeg,6,-1,False
3,mnist_784_34886.jpeg,9,-1,False
4,mnist_784_28337.jpeg,7,-1,False
5,mnist_784_61438.jpeg,0,-1,False
6,mnist_784_5916.jpeg,8,-1,False
7,mnist_784_30614.jpeg,1,-1,False
8,mnist_784_1548.jpeg,1,-1,False
9,mnist_784_3544.jpeg,9,-1,False
10,mnist_784_12691.jpeg,0,-1,False
11,mnist_784_20428.jpeg,5,-1,False
12,mnist_784_20697.jpeg,3,-1,False
13,mnist_784_40130.jpeg,4,-1,False
14,mnist_784_26001.jpeg,7,-1,False
15,mnist_784_17690.jpeg,4,-1,False
16,mnist_784_30845.jpeg,9,-1,False
17,mnist_784_44304.jpeg,2,-1,False
18,mnist_784_45719.jpeg,9,-1,False
19,mnist_784_68342.jpeg,0,-1,False
20,mnist_784_40258.jpeg,5,-1,False
21,mnist_784_44490.jpeg,2,-1,False
22,mnist_784_18815.jpeg,2,-1,False
23,mnist_784_58525.jpeg,3,-1,False
24,mnist_784_59749.jpeg,9,-1,False
25,mnist_784_56707.jpeg,0,-1,False
26,mnist_784_482.jpeg,9,-1,False
27,mnist_784_31183.jpeg,3,-1,False
28,mnist_784_37203.jpeg,7,-1,False
29,mnist_784_52932.jpeg,8,-1,False
30,mnist_784_19185.jpeg,9,-1,False
31,mnist_784_35674.jpeg,5,-1,False
32,mnist_784_17757.jpeg,2,-1,False
33,mnist_784_38421.jpeg,6,-1,False
34,mnist_784_5297.jpeg,2,-1,False
35,mnist_784_27903.jpeg,5,-1,False
36,mnist_784_40398.jpeg,8,-1,False
37,mnist_784_59360.jpeg,7,-1,False
38,mnist_784_47549.jpeg,8,-1,False
39,mnist_784_48743.jpeg,8,-1,False
40,mnist_784_46123.jpeg,9,-1,False
41,mnist_784_56338.jpeg,1,-1,False
42,mnist_784_55357.jpeg,8,-1,False
43,mnist_784_7596.jpeg,4,-1,False
44,mnist_784_59389.jpeg,7,-1,False
45,mnist_784_26248.jpeg,8,-1,False
46,mnist_784_54887.jpeg,7,-1,False
47,mnist_784_41219.jpeg,9,9,False
48,mnist_784_7320.jpeg,8,-1,False
49,mnist_784_22667.jpeg,7,-1,False
50,mnist_784_38974.jpeg,1,-1,False
51,mnist_784_41138.jpeg,0,-1,False
52,mnist_784_23889.jpeg,1,-1,False
53,mnist_784_16858.jpeg,2,-1,False
54,mnist_784_25296.jpeg,3,-1,False
55,mnist_784_50059.jpeg,6,-1,False
56,mnist_784_22720.jpeg,5,-1,False
57,mnist_784_22290.jpeg,8,-1,False
58,mnist_784_46417.jpeg,1,-1,False
59,mnist_784_20095.jpeg,0,-1,False
60,mnist_784_67587.jpeg,2,-1,False
61,mnist_784_11197.jpeg,3,-1,False
62,mnist_784_6075.jpeg,1,-1,False
63,mnist_784_47654.jpeg,3,-1,False
64,mnist_784_60211.jpeg,5,-1,False
65,mnist_784_5928.jpeg,2,-1,False
66,mnist_784_1035.jpeg,3,-1,False
67,mnist_784_35375.jpeg,8,-1,False
68,mnist_784_25777.jpeg,6,-1,False
69,mnist_784_68570.jpeg,3,-1,False
70,mnist_784_52281.jpeg,3,-1,False
71,mnist_784_1642.jpeg,6,-1,False
72,mnist_784_17423.jpeg,1,-1,False
73,mnist_784_39549.jpeg,9,-1,False
74,mnist_784_52812.jpeg,2,-1,False
75,mnist_784_10130.jpeg,2,-1,False
76,mnist_784_50930.jpeg,0,-1,False
77,mnist_784_55409.jpeg,7,-1,False
78,mnist_784_11945.jpeg,0,-1,False
79,mnist_784_3910.jpeg,6,-1,False
80,mnist_784_7303.jpeg,1,-1,False
81,mnist_784_18084.jpeg,2,-1,False
82,mnist_784_58254.jpeg,2,-1,False
83,mnist_784_61552.jpeg,4,-1,False
84,mnist_784_48851.jpeg,1,-1,False
85,mnist_784_60443.jpeg,0,-1,False
86,mnist_784_4117.jpeg,9,-1,False
87,mnist_784_54174.jpeg,3,-1,False
88,mnist_784_4100.jpeg,8,-1,False
89,mnist_784_41537.jpeg,3,-1,False
90,mnist_784_37668.jpeg,2,-1,False
91,mnist_784_35362.jpeg,4,-1,False
92,mnist_784_9385.jpeg,4,-1,False
93,mnist_784_43428.jpeg,3,-1,False
